Date,Adj Close,Close,High,Low,Open,Volume
7/8/2022,162.3000031,162.3000031,163.3800049,161.8399963,162.3500061,4584100
7/11/2022,161.4299927,161.4299927,162.4400024,161.3800049,161.9299927,4321700
7/12/2022,160.8300018,160.8300018,161.6199951,160.7200012,161.2200012,5375100
7/13/2022,161.6000061,161.6000061,162.7100067,160.0599976,160.1000061,8456600
7/14/2022,159.3300018,159.3300018,159.8300018,158.2200012,159.0200043,12213600
7/15/2022,159.0099945,159.0099945,159.25,158.3500061,159.0099945,6783800
7/18/2022,159.1600037,159.1600037,160.4299927,159.0500031,160.0800018,5791800
7/19/2022,159.5399933,159.5399933,159.8699951,159.3300018,159.4700012,3796200
7/20/2022,158.0399933,158.0399933,159.8200073,158.0299988,159.7100067,4795800
7/21/2022,160.2700043,160.2700043,160.3099976,158.2700043,158.3099976,5863300
7/22/2022,160.6699982,160.6699982,162.1300049,160.3500061,160.5500031,5733800
7/25/2022,160.2299957,160.2299957,160.6999969,159.8099976,160.6399994,3713400
7/26/2022,160.0399933,160.0399933,160.5,159.7899933,160.2299957,2672800
7/27/2022,161.6699982,161.6699982,162.2100067,159.5099945,160.0200043,5766100
7/28/2022,163.6399994,163.6399994,163.7599945,162.8800049,163.3099976,5606400
7/29/2022,164.1000061,164.1000061,164.6900024,163.2799988,163.8899994,7537300
8/1/2022,165.0299988,165.0299988,165.4100037,164.4100037,164.9799957,4666900
8/2/2022,164.0500031,164.0500031,166.4600067,164.0200043,165.6600037,5725400
8/3/2022,164.4499969,164.4499969,164.9100037,163.4799957,164.7700043,4417800
8/4/2022,167.1699982,167.1699982,167.3099976,165.3399963,165.5299988,5502000
8/5/2022,165.2899933,165.2899933,165.8399963,164.8699951,164.9900055,6023300
8/8/2022,166.6900024,166.6900024,166.8099976,165.9299927,166.0299988,3456300
8/9/2022,167.1999969,167.1999969,167.8000031,166.8200073,167.4799957,3205500
8/10/2022,166.7799988,166.7799988,167.9799957,166.6199951,167.3899994,4077300
8/11/2022,166.3399963,166.3399963,167.6600037,166.3099976,167.1600037,4446000
8/12/2022,167.8699951,167.8699951,167.9400024,166.8300018,167.1699982,5151700
8/15/2022,165.7100067,165.7100067,166.25,165.4400024,165.9900055,5236100
8/16/2022,165.4199982,165.4199982,165.7200012,165.1799927,165.3099976,4291500
8/17/2022,164.3500061,164.3500061,165.2299957,163.9499969,165.2100067,5569100
8/18/2022,163.9199982,163.9199982,164.9100037,163.5399933,164.6000061,3646100
8/19/2022,162.7200012,162.7200012,163.7400055,162.6199951,163.6499939,8173000
8/22/2022,161.6399994,161.6399994,162.1199951,161.3600006,161.6600037,4458100
8/23/2022,162.7700043,162.7700043,163.4299927,161.9100037,161.9600067,4425100
8/24/2022,163.25,163.25,163.6100006,162.3699951,162.4400024,3202400
8/25/2022,163.75,163.75,163.9900055,163.2400055,163.9700012,2857500
8/26/2022,161.7599945,161.7599945,163.6100006,161.5500031,163.1199951,6689300
8/29/2022,161.8600006,161.8600006,162.6199951,161.6999969,161.8800049,4702300
8/30/2022,160.5099945,160.5099945,161.4299927,160.3399963,161.2700043,4856600
8/31/2022,159.2700043,159.2700043,160.5700073,159.2599945,159.5,5438600
9/1/2022,157.8699951,157.8699951,158.3899994,157.3200073,158.1699982,7390800
9/2/2022,159.2599945,159.2599945,160.0599976,159.1399994,159.3500061,5196900
9/6/2022,158.3300018,158.3300018,159.4600067,158.3200073,159.1699982,4863800
9/7/2022,159.9400024,159.9400024,160.1499939,158.0800018,158.1499939,3981400
9/8/2022,158.9799957,158.9799957,159.8600006,158.7100067,159.5399933,4607100
9/9/2022,159.8200073,159.8200073,160.2400055,159.4100037,159.7200012,3927800
9/12/2022,160.6300049,160.6300049,161.6199951,160.5500031,161.0399933,4537500
9/13/2022,158.5399933,158.5399933,159.2700043,158.3899994,158.4700012,6526400
9/14/2022,157.9299927,157.9299927,158.9799957,157.7299957,158.6799927,6091100
9/15/2022,154.9799957,154.9799957,157.4900055,154.6199951,156.7599945,13181200
9/16/2022,155.8399963,155.8399963,156.5599976,154.3399963,154.6600037,7141200
9/19/2022,155.9600067,155.9600067,156.0399933,154.8200073,154.8699951,5582800
9/20/2022,155.0700073,155.0700073,155.2299957,154.5899963,155.0299988,5943700
9/21/2022,155.7899933,155.7899933,157.25,154.0099945,155.9700012,7816100
9/22/2022,155.6999969,155.6999969,156.4799957,155.3099976,156.2599945,5975200
9/23/2022,153.0099945,153.0099945,154,152.6399994,153.8999939,9598000
9/26/2022,151.2299957,151.2299957,153.5099945,151.0299988,153.2200012,8240500
9/27/2022,151.5399933,151.5399933,152.7299957,151.5,152.25,7151300
9/28/2022,154.6900024,154.6900024,154.8800049,152.9299927,153.1999969,8977200
9/29/2022,154.6600037,154.6600037,155.0299988,153.1600037,154.1399994,6317000
9/30/2022,154.6699982,154.6699982,156.0399933,154.5700073,154.9400024,6832400
10/3/2022,158.4299927,158.4299927,158.4799957,155.2299957,155.4400024,10362200
10/4/2022,160.6999969,160.6999969,161.0800018,158.9199982,159.1799927,8024500
10/5/2022,159.8099976,159.8099976,160.0800018,158.3800049,159.3200073,5296300
10/6/2022,159.6300049,159.6300049,159.9400024,158.9499969,159.4100037,5712600
10/7/2022,157.8800049,157.8800049,158.9799957,157.6799927,158.4600067,5030000
10/10/2022,155.4799957,155.4799957,156.3500061,155.1199951,155.9400024,6110800
10/11/2022,155.1600037,155.1600037,156.8099976,154.9199982,155.4900055,5306700
10/12/2022,155.9900055,155.9900055,156.2899933,155.2599945,155.5099945,3998500
10/13/2022,154.9100037,154.9100037,155.7299957,152.9199982,153.4799957,7083800
10/14/2022,152.9799957,152.9799957,154.1999969,152.7200012,154.0200043,5471900
10/17/2022,153.4199982,153.4199982,155.3300018,153.3200073,154.9199982,4348000
10/18/2022,153.75,153.75,154.2400055,153.2400055,154.0800018,4528400
10/19/2022,151.6900024,151.6900024,152.4900055,151.5399933,152.0899963,8257100
10/20/2022,151.4499969,151.4499969,153.2299957,151.2700043,151.9199982,5019800
10/21/2022,154.1499939,154.1499939,154.3099976,151.8300018,151.9799957,6898400
10/24/2022,153.6499939,153.6499939,154.0599976,153.0599976,153.4499969,4673300
10/25/2022,154,154,154.7899933,153.8300018,153.9600067,3434100
10/26/2022,154.9799957,154.9799957,155.7299957,154.7799988,154.7799988,4448200
10/27/2022,154.7400055,154.7400055,155.0899963,154.2200012,154.7100067,3654900
10/28/2022,153.1600037,153.1600037,153.5399933,152.5,152.9600067,4645400
10/31/2022,151.9100037,151.9100037,152.8699951,151.8899994,152.1600037,6097800
11/1/2022,153.4600067,153.4600067,153.9799957,152.8699951,153.8200073,4603600
11/2/2022,152.3899994,152.3899994,155.4199982,152.2599945,154.1600037,7210900
11/3/2022,151.8099976,151.8099976,151.9600067,150.5700073,150.6999969,5378800
11/4/2022,156.4700012,156.4700012,156.6000061,154.6600037,154.9499969,7692000
11/7/2022,155.8500061,155.8500061,156.5700073,155.8099976,156.2200012,4425700
11/8/2022,159.4499969,159.4499969,159.8699951,155.9799957,155.9900055,11299600
11/9/2022,158.6499939,158.6499939,160.3500061,158.4499969,159.3600006,6040600
11/10/2022,163.4799957,163.4799957,163.5099945,161.6600037,162.0099945,9939900
11/11/2022,164.5599976,164.5599976,164.5800018,163.4199982,163.9100037,4622400
11/14/2022,164.9199982,164.9199982,165.2400055,164.1499939,164.1999969,6187600
11/15/2022,165.5,165.5,166.2299957,164.5599976,165.2700043,9903500
11/16/2022,165.1199951,165.1199951,165.7100067,164.8300018,165.4100037,3645800
11/17/2022,163.9199982,163.9199982,164.1100006,163.3999939,163.7899933,4574400
11/18/2022,162.7899933,162.7899933,163.6900024,162.6799927,163.3800049,4321100
11/21/2022,161.8800049,161.8800049,162.5,161.2799988,162.4400024,4766500
11/22/2022,162.0700073,162.0700073,162.6000061,161.7200012,162.3000031,3203800
11/23/2022,163.0800018,163.0800018,163.2400055,161.5599976,161.6900024,4167000
11/25/2022,163.2200012,163.2200012,163.4299927,162.7599945,162.8500061,1436500
11/28/2022,161.9299927,161.9299927,163.0599976,161.9100037,162.9299927,4052900
11/29/2022,162.7299957,162.7299957,163.6300049,162.6000061,162.6999969,2620600
11/30/2022,164.8099976,164.8099976,164.8099976,162.3999939,163.6900024,4874700
12/1/2022,167.8399963,167.8399963,167.9499969,166.9799957,167.4799957,8625800
12/2/2022,167.2599945,167.2599945,167.4700012,165.7599945,166.1799927,5185900
12/5/2022,164.3899994,164.3899994,166.7200012,164.3200073,166.5500031,5436200
12/6/2022,164.8399963,164.8399963,165.5399933,164.4499969,165.1999969,3597800
12/7/2022,166.3300018,166.3300018,166.6399994,165.3200073,165.4700012,4610700
12/8/2022,166.4700012,166.4700012,167.0500031,166.0700073,166.5800018,3217900
12/9/2022,167.0599976,167.0599976,168.0899963,166.6000061,167.2599945,5431300
12/12/2022,165.6799927,165.6799927,166.6000061,165.4299927,166.4400024,3504400
12/13/2022,168.5099945,168.5099945,169.7899933,168.0200043,169.2100067,6750200
12/14/2022,168.1000061,168.1000061,168.8099976,167.1399994,168.4299927,5643000
12/15/2022,165.3500061,165.3500061,166.2100067,165.1000061,165.7299957,8363000
12/16/2022,166.7899933,166.7899933,166.9799957,165.8399963,166.0200043,5372000
12/19/2022,166.3200073,166.3200073,167.1100006,165.9900055,166.7100067,3940500
12/20/2022,169.0800018,169.0800018,169.5299988,168.0299988,168.1000061,7803100
12/21/2022,168.8000031,168.8000031,169.7100067,168.6799927,169.0399933,3990100
12/22/2022,166.7599945,166.7599945,167.7599945,166.0599976,167.7599945,5672700
12/23/2022,167.2599945,167.2599945,167.8000031,166.6600037,166.8800049,2912300
12/27/2022,168.6699982,168.6699982,170.6100006,167.8000031,167.8899994,6885700
12/28/2022,167.9100037,167.9100037,168.3399963,167.1000061,168.0500031,3662500
12/29/2022,168.8500061,168.8500061,169.3500061,168.5200043,168.5399933,3345900
12/30/2022,169.6399994,169.6399994,169.8999939,168.8000031,169.2599945,2864500
1/3/2023,171.0599976,171.0599976,172.0899963,170.0200043,171.3200073,7992900
1/4/2023,172.6699982,172.6699982,173.0899963,171.8500061,172.8600006,7574600
1/5/2023,170.5200043,170.5200043,171,169.7899933,170.8200073,4692600
1/6/2023,173.7100067,173.7100067,173.9600067,171.2299957,171.7599945,7889000
1/9/2023,174.1000061,174.1000061,175.0399933,173.8800049,174.5099945,5134500
1/10/2023,174.7400055,174.7400055,174.9799957,174.0599976,174.6100006,4398400
1/11/2023,174.6199951,174.6199951,174.7899933,173.7200012,174.7599945,3374200
1/12/2023,176.6399994,176.6399994,176.7100067,174.8800049,176.0099945,6936900
1/13/2023,178.7599945,178.7599945,178.8300018,176.8899994,176.9600067,7468800
1/17/2023,177.5899963,177.5899963,178.2400055,177.0899963,178.2100067,6610800
1/18/2023,177.0800018,177.0800018,179.1799927,176.8999939,178.9199982,5384700
1/19/2023,179.8899994,179.8899994,180.0299988,178.0899963,178.3699951,6678700
1/20/2023,179.2899933,179.2899933,179.6600037,178.6499939,179.0599976,5754800
1/23/2023,179.6300049,179.6300049,179.6900024,177.7799988,178.3500061,5265500
1/24/2023,180.2799988,180.2799988,180.3200073,178.3500061,179.5599976,4604600
1/25/2023,181.1100006,181.1100006,181.2200012,179.2899933,179.3500061,6925300
1/26/2023,179.4700012,179.4700012,180.2700043,178.4600067,180.1499939,5860100
1/27/2023,179.2200012,179.2200012,179.7200012,178.2599945,179.2700043,6052700
1/30/2023,178.7599945,178.7599945,179.4299927,178.6499939,179.2899933,4210700
1/31/2023,179.4100037,179.4100037,179.6999969,178.5399933,178.8200073,5976900
2/1/2023,181.6699982,181.6699982,181.7299957,178.6300049,179.75,7996000
2/2/2023,177.8999939,177.8999939,181.1100006,177.7400055,181.0800018,8842400
2/3/2023,173.4600067,173.4600067,175.4299927,173.1199951,174.9199982,13674400
2/6/2023,173.8200073,173.8200073,174.4600067,173.2799988,174.1100006,8957000
2/7/2023,173.9799957,173.9799957,175.2700043,173.4700012,173.7200012,6794200
2/8/2023,174.4100037,174.4100037,174.9900055,173.8300018,174.9400024,4075600
2/9/2023,173.0299988,173.0299988,175.5200043,172.8699951,175.4900055,5361300
2/10/2023,173.3600006,173.3600006,173.6799927,172.6300049,173.6300049,2971100
