,Date,Adj Close,Close,High,Low,Open,Volume
154,2019-08-13,1502.199951,1502.199951,1531.400024,1483.699951,1510.400024,672
155,2019-08-14,1515.900024,1515.900024,1520.5,1497.0,1500.0,328
156,2019-08-15,1519.599976,1519.599976,1522.699951,1510.599976,1519.800049,87
157,2019-08-16,1512.5,1512.5,1524.599976,1504.699951,1524.599976,1815
158,2019-08-19,1500.400024,1500.400024,1507.599976,1492.900024,1507.199951,205
159,2019-08-20,1504.599976,1504.599976,1506.099976,1497.5,1497.5,486
160,2019-08-21,1504.599976,1504.599976,1505.0,1498.800049,1504.900024,350
161,2019-08-22,1497.300049,1497.300049,1497.300049,1493.800049,1495.099976,686
162,2019-08-23,1526.599976,1526.599976,1527.599976,1493.5,1493.5,983
163,2019-08-26,1526.300049,1526.300049,1543.300049,1524.300049,1543.199951,334
164,2019-08-27,1541.0,1541.0,1542.099976,1528.5,1530.5,166
165,2019-08-28,1537.800049,1537.800049,1538.099976,1537.800049,1538.099976,2756
166,2019-08-29,1526.5,1526.5,1549.300049,1519.599976,1537.5,704
167,2019-08-30,1519.099976,1519.099976,1530.400024,1516.699951,1524.599976,276
168,2019-09-03,1545.900024,1545.900024,1547.300049,1521.0,1522.900024,139
169,2019-09-04,1550.300049,1550.300049,1553.199951,1534.800049,1549.0,46
170,2019-09-05,1515.400024,1515.400024,1551.099976,1511.099976,1551.0,125
171,2019-09-06,1506.199951,1506.199951,1526.0,1504.5,1517.300049,54
172,2019-09-09,1502.199951,1502.199951,1513.0,1498.0,1509.0,69
173,2019-09-10,1490.300049,1490.300049,1498.5,1486.900024,1498.5,23
174,2019-09-11,1494.400024,1494.400024,1496.599976,1490.199951,1491.699951,8
175,2019-09-12,1498.699951,1498.699951,1515.400024,1498.699951,1499.5,27
176,2019-09-13,1490.900024,1490.900024,1490.900024,1486.900024,1490.900024,1
177,2019-09-16,1503.099976,1503.099976,1506.800049,1496.900024,1506.599976,21
178,2019-09-17,1505.099976,1505.099976,1505.099976,1497.900024,1497.900024,3
179,2019-09-18,1507.5,1507.5,1509.400024,1489.300049,1508.900024,8
180,2019-09-19,1498.400024,1498.400024,1502.400024,1496.099976,1496.099976,10
181,2019-09-20,1507.300049,1507.300049,1507.300049,1503.0,1503.0,2
182,2019-09-23,1523.699951,1523.699951,1523.699951,1515.5,1515.5,5
183,2019-09-24,1532.099976,1532.099976,1533.0,1515.099976,1515.099976,25
184,2019-09-25,1504.599976,1504.599976,1527.900024,1504.599976,1527.599976,25
185,2019-09-26,1507.5,1507.5,1507.5,1507.5,1507.5,8178
186,2019-09-27,1499.099976,1499.099976,1506.099976,1485.599976,1504.199951,7827
